Date,WMT,COST,TGT,AMZN,BBY
4/18/2001,38.017788,28.443916,27.95282,16.540001,18.191788
4/19/2001,37.851955,27.420637,27.390095,15.99,17.95899
4/20/2001,37.28236,27.101789,27.404726,15.78,18.068735
4/23/2001,37.520302,26.871925,26.849327,16.200001,18.118624
4/24/2001,36.121574,25.418594,26.293917,15.68,17.712883
4/25/2001,36.532532,25.930222,26.505854,16.09,17.456802
4/26/2001,36.943504,25.789347,27.441269,15.43,17.643047
4/27/2001,38.089886,26.189756,28.617832,15.27,18.487785
4/30/2001,37.303997,25.900566,28.09897,15.78,18.308184
5/1/2001,38.572945,26.634649,28.566683,16.889999,18.324821
5/2/2001,38.270115,26.72364,28.420521,17.110001,18.986649
5/3/2001,38.284546,26.249077,28.508215,16.75,18.797071
5/4/2001,38.226871,26.597584,28.683619,17.559999,18.807055
5/7/2001,37.527508,25.759687,28.45705,16.92,17.792698
5/8/2001,37.477043,25.781931,28.142828,16.18,17.656345
5/9/2001,37.19585,25.811586,27.989357,15.01,17.576525
5/10/2001,38.515255,26.649487,28.866318,14.62,18.281584
5/11/2001,39.005531,26.315809,29.18054,14.68,17.127554
5/14/2001,39.18578,26.775539,29.012468,13.33,17.313797
5/15/2001,37.491474,26.360308,27.989357,13.54,17.533291
5/16/2001,37.239124,26.805197,27.810064,14.13,17.623081
5/17/2001,37.318417,26.916424,28.080847,14.78,18.677353
5/18/2001,37.520302,26.530844,27.663692,14.72,18.674013
5/21/2001,38.356644,27.45771,27.6271,16.379999,20.656162
5/22/2001,38.587364,28.095411,28.461414,16.25,20.413382
5/23/2001,37.866375,27.324251,27.583191,15.6,19.914528
5/24/2001,38.133144,28.028677,27.466082,16.75,20.034246
5/25/2001,36.914665,27.880381,27.341669,17.09,20.326916
5/29/2001,36.921875,27.272343,27.224596,17.219999,19.701679
5/30/2001,37.109333,27.650511,27.649055,15.66,18.055435
5/31/2001,37.311211,28.851736,27.663692,16.690001,17.676298
6/1/2001,37.289608,28.755342,27.663692,16.950001,17.95899
6/4/2001,36.763264,28.540308,27.092857,16.91,18.095345
6/5/2001,36.986759,29.474596,27.524637,16.440001,18.856932
6/6/2001,36.590233,29.289217,27.327036,15.99,19.54204
6/7/2001,36.842571,30.401497,27.780794,16.129999,20.333563
6/8/2001,36.784885,29.949171,28.000343,15.7,20.769243
6/11/2001,36.215305,29.489433,27.261177,14.86,19.871284
6/12/2001,36.460449,29.978827,27.166042,14.64,19.754883
6/13/2001,36.157627,30.023306,26.968441,14.12,19.854654
6/14/2001,35.688988,29.971403,26.858671,13.29,19.405685
6/15/2001,34.715645,30.030725,26.068258,12.49,18.870243
6/18/2001,34.982422,31.202291,26.587881,11.83,19.355803
6/19/2001,35.227554,31.476645,26.543961,11.36,20.020947
6/20/2001,35.956802,31.595284,26.339058,12.53,20.513153
6/21/2001,36.426094,32.3442,26.573238,13.08,21.088512
6/22/2001,36.086754,31.083656,26.595186,12.4,20.559717
6/25/2001,35.379177,31.105896,26.939163,12.81,20.366821
6/26/2001,35.451378,29.912075,26.880604,13.25,20.629555
6/27/2001,35.018154,29.459778,25.804806,14.04,20.662815
6/28/2001,35.64632,31.224527,25.995083,14.36,21.071875
6/29/2001,35.234772,30.460789,25.321789,14.15,21.12509
7/2/2001,35.920696,31.395079,26.046316,14.53,22.28578
7/3/2001,35.538029,31.246782,26.339058,14.13,22.674891
7/5/2001,35.09037,30.62392,25.89263,15.27,22.209278
7/6/2001,34.18063,29.963997,24.524076,15.27,21.564093
7/9/2001,34.837666,31.113329,24.297209,15.81,22.232563
7/10/2001,34.296143,30.913095,23.960564,15.61,21.743675
7/11/2001,35.27087,31.283844,24.428934,15.34,21.460991
7/12/2001,37.436947,31.980873,26.309786,16.49,22.598398
7/13/2001,38.195076,31.95862,26.485426,16.98,22.67156
7/16/2001,38.613838,32.996719,26.236589,16.01,22.698166
7/17/2001,38.519981,32.774281,26.068258,16.35,22.448734
7/18/2001,38.974861,32.351608,25.973127,15.96,22.758028
7/19/2001,39.155357,32.603725,26.492741,16.49,23.087278
7/20/2001,39.191475,32.878078,27.261177,16.98,22.56846
7/23/2001,38.288921,32.418346,27.078199,16.030001,21.983133
7/24/2001,38.339474,31.157812,26.895254,12.06,21.407774
7/25/2001,39.78352,31.002089,27.005026,11.51,21.417751
7/26/2001,40.072323,31.291267,26.968441,12.33,22.698166
7/27/2001,40.007355,30.683247,26.931845,12.25,22.94759
7/30/2001,40.346691,31.202291,27.29777,12.55,22.252518
7/31/2001,40.361141,31.921549,28.322353,12.49,22.269138
8/1/2001,39.718544,31.328346,27.590517,12.5,22.099527
8/2/2001,40.426121,32.181065,27.831993,12.19,22.541859
8/3/2001,39.992908,31.89188,27.993017,12.15,22.425457
8/6/2001,39.3503,30.868608,27.707602,11.9,21.534159
8/7/2001,39.769089,31.261608,28.563854,11.6,21.620623
8/8/2001,39.371956,31.269026,27.810064,11.11,20.918896
8/9/2001,39.112038,30.334738,27.956421,10.46,20.46327
8/10/2001,38.700485,29.645147,27.700275,9.95,19.97106
8/13/2001,37.689659,30.179014,27.524637,10.12,19.385731
8/14/2001,37.805172,30.416311,27.429489,10.53,20.316935
8/15/2001,37.545265,29.437519,27.370953,10.08,20.287008
8/16/2001,37.321434,29.949171,27.162066,9.81,20.147329
8/17/2001,36.678829,29.222492,26.83959,9.99,19.714977
8/20/2001,37.249214,29.830523,27.191387,10.4,19.754883
8/21/2001,36.05788,28.688606,25.9161,9.89,19.438942
8/22/2001,36.274479,28.822081,26.458464,10.2,19.734926
8/23/2001,35.913475,28.621872,26.304548,9.63,19.222769
8/24/2001,36.787128,29.051941,26.172613,10.23,20.363495
8/27/2001,36.382793,29.259562,25.872118,10.13,20.363495
8/28/2001,36.173397,29.452351,25.520332,9.97,20.160629
8/29/2001,35.487488,28.799835,25.688898,9.19,20.203865
8/30/2001,34.368343,28.095411,25.505663,8.69,19.325865
8/31/2001,34.69326,27.739487,25.395723,8.94,19.6152
9/4/2001,34.982067,27.924862,25.542309,8.59,19.631824
9/5/2001,35.487488,27.591185,25.637594,7.65,19.52874
9/6/2001,34.202286,25.967302,24.29635,8.15,20.050875
9/7/2001,33.371952,25.181314,23.292246,8.51,18.634109
9/10/2001,33.379158,25.337029,23.600069,8.63,17.975622
9/17/2001,31.76906,23.839201,21.738447,7.49,15.963541
9/18/2001,32.743778,23.95043,21.349998,7.29,16.419172
9/19/2001,32.866718,23.587088,20.71236,7.31,16.415838
9/20/2001,32.765488,23.379475,19.715588,7.48,15.118807
9/21/2001,32.295441,23.149607,19.554344,7.48,14.433703
9/24/2001,34.190063,24.840223,22.097582,7.46,15.448056
9/25/2001,34.999985,24.847643,22.867151,7.09,14.999083
9/26/2001,35.780972,24.96628,23.094353,6.35,14.097809
9/27/2001,35.715897,24.95887,22.984417,6.2,14.134392
9/28/2001,35.795444,26.367716,23.270262,5.97,15.115484
10/1/2001,35.983456,26.13785,23.021063,6.01,14.417078
10/2/2001,37.314041,26.315809,23.482803,6.08,14.999083
10/3/2001,38.131191,27.005396,25.212498,6.76,16.229599
10/4/2001,37.241718,26.115604,24.186417,7.04,16.123186
10/5/2001,37.892551,26.226828,24.047152,7.2,16.528919
10/8/2001,36.95969,25.240633,23.050385,7.12,16.020079
10/9/2001,37.661125,24.869884,22.757212,6.91,15.747371
10/10/2001,38.782005,26.508608,23.680693,7.26,16.928009
